County	Contest Name	Choice Party	Sum of Total Votes
ALAMANCE	9	DEM	37905
ALAMANCE	9	REP	46466
ALAMANCE	9	UNA	3669
ALEXANDER	5	DEM	4029
ALEXANDER	5	REP	16262
ALLEGHANY	5	DEM	1516
ALLEGHANY	5	REP	4910
ANSON	8	DEM	5261
ANSON	8	REP	5399
ASHE	5	DEM	4524
ASHE	5	REP	11558
AVERY	11	DEM	2085
AVERY	11	REP	7086
BEAUFORT	3	LIB	5038
BEAUFORT	3	REP	18726
BERTIE	1	DEM	5315
BERTIE	1	LIB	204
BERTIE	1	REP	3562
BLADEN	7	DEM	6426
BLADEN	7	REP	9939
BRUNSWICK	7	DEM	37303
BRUNSWICK	7	REP	69577
BUNCOMBE	11	DEM	95289
BUNCOMBE	11	REP	60589
BURKE	14	DEM	13316
BURKE	14	REP	31574
CABARRUS	6	CST	15128
CABARRUS	6	REP	25481
CABARRUS	8	DEM	29744
CABARRUS	8	REP	39164
CALDWELL	5	DEM	9828
CALDWELL	5	REP	32926
CAMDEN	1	DEM	1481
CAMDEN	1	LIB	204
CAMDEN	1	REP	4493
CARTERET	3	LIB	6089
CARTERET	3	REP	34816
CASWELL	13	DEM	4440
CASWELL	13	REP	7154
CATAWBA	10	CST	1068
CATAWBA	10	DEM	24424
CATAWBA	10	LIB	1893
CATAWBA	10	REP	58213
CHATHAM	4	DEM	20133
CHATHAM	4	LIB	543
CHATHAM	4	REP	10320
CHATHAM	9	DEM	7188
CHATHAM	9	REP	11752
CHATHAM	9	UNA	710
CHEROKEE	11	DEM	3552
CHEROKEE	11	REP	14033
CHOWAN	1	DEM	2877
CHOWAN	1	LIB	181
CHOWAN	1	REP	4431
CLAY	11	DEM	1779
CLAY	11	REP	5786
CLEVELAND	14	DEM	15888
CLEVELAND	14	REP	35071
COLUMBUS	7	DEM	8669
COLUMBUS	7	REP	17807
CRAVEN	3	LIB	10837
CRAVEN	3	REP	36672
CUMBERLAND	7	DEM	44811
CUMBERLAND	7	REP	44506
CUMBERLAND	9	DEM	29852
CUMBERLAND	9	REP	14274
CUMBERLAND	9	UNA	3260
CURRITUCK	1	DEM	4425
CURRITUCK	1	LIB	622
CURRITUCK	1	REP	12686
DARE	3	LIB	5466
DARE	3	REP	15962
DAVIDSON	6	CST	18248
DAVIDSON	6	REP	68718
DAVIE	6	CST	4814
DAVIE	6	REP	20111
DUPLIN	3	LIB	3969
DUPLIN	3	REP	15521
DURHAM	4	DEM	143235
DURHAM	4	LIB	3422
DURHAM	4	REP	31380
EDGECOMBE	1	DEM	15019
EDGECOMBE	1	LIB	578
EDGECOMBE	1	REP	8642
FORSYTH	6	CST	16591
FORSYTH	6	REP	35144
FORSYTH	10	CST	1865
FORSYTH	10	DEM	79691
FORSYTH	10	LIB	5516
FORSYTH	10	REP	50620
FRANKLIN	13	DEM	17985
FRANKLIN	13	REP	23837
GASTON	14	DEM	43341
GASTON	14	REP	73384
GATES	1	DEM	2277
GATES	1	LIB	157
GATES	1	REP	3321
GRAHAM	11	DEM	797
GRAHAM	11	REP	3851
GRANVILLE	1	DEM	3682
GRANVILLE	1	LIB	116
GRANVILLE	1	REP	1900
GRANVILLE	13	DEM	10518
GRANVILLE	13	REP	15224
GREENE	1	DEM	4150
GREENE	1	LIB	204
GREENE	1	REP	4028
GUILFORD	5	DEM	88185
GUILFORD	5	REP	46505
GUILFORD	6	CST	33877
GUILFORD	6	REP	32991
GUILFORD	9	DEM	25548
GUILFORD	9	REP	33610
GUILFORD	9	UNA	2339
HALIFAX	1	DEM	14214
HALIFAX	1	LIB	554
HALIFAX	1	REP	8879
