Index	County Name District	Choice Party	Choice Party	Sum of Total Votes
1	ALAMANCE	9	DEM	37905
1	ALAMANCE	9	REP	46466
1	ALAMANCE	9	UNA	3669
2	ALEXANDER	5	DEM	4029
2	ALEXANDER	5	REP	16262
3	ALLEGHANY	5	DEM	1516
3	ALLEGHANY	5	REP	4910
4	ANSON	8	DEM 5261	
4	ANSON	8	REP	5399
5	ASHE	5	DEM	4524
5	ASHE	5	REP	11558
6	AVERY	11	DEM	2085
6	AVERY	11	REP	7086
7	BEAUFORT	3	LIB	5038
7	BEAUFORT	3	REP	18726
8	BERTIE	1	DEM	5315
8	BERTIE	1	LIB	204
8	BERTIE	1	REP	3562
9	BLADEN	7	DEM	6426
9	BLADEN	7	REP	9939
10	BRUNSWICK	7	DEM	37303
10	BRUNSWICK	7	REP	69577
11	BUNCOMBE	11	DEM	95289
11	BUNCOMBE	11	REP	60589
12	BURKE	14	DEM	13316
12	BURKE	14	REP	31574
13	CABARRUS1	6	CST	15128
13	CABARRUS1	6	REP	25481
14	CABARRUS2	8	DEM	29744
14	CABARRUS2	8	REP	39164
15	CALDWELL	5	DEM	9828
15	CALDWELL	5	REP	32926
16	CAMDEN	1	DEM	1481
16	CAMDEN	1	LIB	204
16	CAMDEN	1	REP	4493
17	CARTERET	3	LIB	6089
17	CARTERET	3	REP	34816
18	CASWELL	13	DEM	4440
18	CASWELL	13	REP	7154
19	CATAWBA	10	CST	1068
19	CATAWBA	10	DEM	24424
19	CATAWBA	10	LIB	1893
19	CATAWBA	10	REP	58213
20	CHATHAM1	4	DEM	20133
20	CHATHAM1	4	LIB	543
20	CHATHAM1	4	REP	10320
21	CHATHAM2	9	DEM	7188
21	CHATHAM2	9	REP	11752
21	CHATHAM2	9	UNA	710
22	CHEROKEE	11	DEM	3552
22	CHEROKEE	11	REP	14033
23	CHOWAN	1	DEM	2877
23	CHOWAN	1	LIB	181
23	CHOWAN	1	REP	4431
24	CLAY	11	DEM	1779
24	CLAY	11	REP	5786
25	CLEVELAND	14	DEM	15888
25	CLEVELAND	14	REP	35071
26	COLUMBUS	7	DEM	8669
26	COLUMBUS	7	REP	17807
27	CRAVEN	3	LIB	10837
27	CRAVEN	3	REP	36672
